Abu Dhabi,Middle East and N Africa
Afghanistan,Asia and Oceania
Albania,Eastern Europe
Algeria,Middle East and N Africa
American Samoa,Asia and Oceania
Andorra,Western Europe exc EC
Angola,Sub-Saharan Africa
Anguilla,Latin America and Caribbean
Antarctica,Asia and Oceania
Antigua:Barbuda,Latin America and Caribbean
Argentina,Latin America and Caribbean
Armenia,Eastern Europe
Aruba,Latin America and Caribbean
Austral Oceania,Asia and Oceania
Australia,Asia and Oceania
Austria,European Community
Azerbaijan,Eastern Europe
Bahamas,Latin America and Caribbean
Bahrain,Middle East and N Africa
Bangladesh,Asia and Oceania
Barbados,Latin America and Caribbean
Belarus,Eastern Europe
Belgium,European Community
Belgium-Luxem.,European Community
Belize,Latin America and Caribbean
Benin,Sub-Saharan Africa
Bermuda,Latin America and Caribbean
Bhutan,Asia and Oceania
Bolivia,Latin America and Caribbean
Bonaire,Latin America and Caribbean
Bosnia & Herz.,Eastern Europe
Botswana,Sub-Saharan Africa
Bouvet Island,Asia and Oceania
Br Ind Oc Terr,Sub-Saharan Africa
Br Virgin Is,Latin America and Caribbean
Brazil,Latin America and Caribbean
Brunei,Asia and Oceania
Bulgaria,European Community
Burkina,Sub-Saharan Africa
Burma,Asia and Oceania
Burundi,Sub-Saharan Africa
Cambodia,Asia and Oceania
Cameroon,Sub-Saharan Africa
Canada,North America
Canary Islands,Middle East and N Africa
Cape Verde,Sub-Saharan Africa
Cayman Islands,Latin America and Caribbean
Cent Afr Rep,Sub-Saharan Africa
Ceuta,Middle East and N Africa
Ceuta & Melilla,Middle East and N Africa
Chad,Sub-Saharan Africa
Chile,Latin America and Caribbean
China,Asia and Oceania
Christmas Is,Asia and Oceania
Cocos Islands,Asia and Oceania
Colombia,Latin America and Caribbean
Comoros,Sub-Saharan Africa
Congo,Sub-Saharan Africa
Congo (Dem. Rep),Sub-Saharan Africa
Congo (Republic),Sub-Saharan Africa
Cook Islands,Asia and Oceania
Costa Rica,Latin America and Caribbean
Croatia,European Community
Cuba,Latin America and Caribbean
Curacao,Latin America and Caribbean
Cyprus,European Community
Czech Republic,European Community
Denmark,European Community
Djibouti,Sub-Saharan Africa
Dominica,Latin America and Caribbean
Dominican Rep,Latin America and Caribbean
Dubai,Middle East and N Africa
East Timor,Asia and Oceania
Ecuador,Latin America and Caribbean
Egypt,Middle East and N Africa
El Salvador,Latin America and Caribbean
Equat Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Estonia,European Community
Ethiopia,Sub-Saharan Africa
Falkland Islands,Latin America and Caribbean
Faroe Islands,Western Europe exc EC
Fiji,Asia and Oceania
Finland,European Community
Fr Southern Terr,Asia and Oceania
France,European Community
French Guiana,Latin America and Caribbean
French Polynesia,Asia and Oceania
FYR Macedonia,Eastern Europe
Gabon,Sub-Saharan Africa
Gambia,Sub-Saharan Africa
Gaza & Jericho,Middle East and N Africa
